wavelength_nm;White;TCS01;TCS02;TCS03;TCS04;TCS05;TCS06;TCS07;TCS08
360;1;0.11600;0.053;0.058;0.057;0.143;0.079;0.15;0.075
365;1;0.13600;0.055;0.059;0.059;0.187;0.081;0.177;0.078
370;1;0.15900;0.059;0.061;0.062;0.233;0.089;0.218;0.084
375;1;0.19000;0.064;0.063;0.067;0.269;0.113;0.293;0.09
380;1;0.21900;0.07;0.065;0.074;0.295;0.151;0.378;0.104
385;1;0.23900;0.079;0.068;0.083;0.306;0.203;0.459;0.129
390;1;0.25200;0.089;0.07;0.093;0.31;0.265;0.524;0.17
395;1;0.25600;0.101;0.072;0.105;0.312;0.339;0.546;0.24
400;1;0.25600;0.111;0.073;0.116;0.313;0.41;0.551;0.319
405;1;0.25400;0.116;0.073;0.121;0.315;0.464;0.555;0.416
410;1;0.25200;0.118;0.074;0.124;0.319;0.492;0.559;0.462
415;1;0.24800;0.12;0.074;0.126;0.322;0.508;0.56;0.482
420;1;0.24400;0.121;0.074;0.128;0.326;0.517;0.561;0.49
425;1;0.24000;0.122;0.073;0.131;0.33;0.524;0.558;0.488
430;1;0.23700;0.122;0.073;0.135;0.334;0.531;0.556;0.482
435;1;0.23200;0.122;0.073;0.139;0.339;0.538;0.551;0.473
440;1;0.23000;0.123;0.073;0.144;0.346;0.544;0.544;0.462
445;1;0.22600;0.124;0.073;0.151;0.352;0.551;0.535;0.45
450;1;0.22500;0.127;0.074;0.161;0.36;0.556;0.522;0.439
455;1;0.22200;0.128;0.075;0.172;0.369;0.556;0.506;0.426
460;1;0.22000;0.131;0.077;0.186;0.381;0.554;0.488;0.413
465;1;0.21800;0.134;0.08;0.205;0.394;0.549;0.469;0.397
470;1;0.21600;0.138;0.085;0.229;0.403;0.541;0.448;0.382
475;1;0.21400;0.143;0.094;0.254;0.41;0.531;0.429;0.366
480;1;0.21400;0.15;0.109;0.281;0.415;0.519;0.408;0.352
485;1;0.21400;0.159;0.126;0.308;0.418;0.504;0.385;0.337
490;1;0.21600;0.174;0.148;0.332;0.419;0.488;0.363;0.325
495;1;0.21800;0.19;0.172;0.352;0.417;0.469;0.341;0.31
500;1;0.22300;0.207;0.198;0.37;0.413;0.45;0.324;0.299
505;1;0.22500;0.225;0.221;0.383;0.409;0.431;0.311;0.289
510;1;0.22600;0.242;0.241;0.39;0.403;0.414;0.301;0.283
515;1;0.22600;0.253;0.26;0.394;0.396;0.395;0.291;0.276
520;1;0.22500;0.26;0.278;0.395;0.389;0.377;0.283;0.27
525;1;0.22500;0.264;0.302;0.392;0.381;0.358;0.273;0.262
530;1;0.22700;0.267;0.339;0.385;0.372;0.341;0.265;0.256
535;1;0.23000;0.269;0.37;0.377;0.363;0.325;0.26;0.251
540;1;0.23600;0.272;0.392;0.367;0.353;0.309;0.257;0.25
545;1;0.24500;0.276;0.399;0.354;0.342;0.293;0.257;0.251
550;1;0.25300;0.282;0.4;0.341;0.331;0.279;0.259;0.254
555;1;0.26200;0.289;0.393;0.327;0.32;0.265;0.26;0.258
560;1;0.27200;0.299;0.38;0.312;0.308;0.253;0.26;0.264
565;1;0.28300;0.309;0.365;0.296;0.296;0.241;0.258;0.269
570;1;0.29800;0.322;0.349;0.28;0.284;0.234;0.256;0.272
575;1;0.31800;0.329;0.332;0.263;0.271;0.227;0.254;0.274
580;1;0.34100;0.335;0.315;0.247;0.26;0.225;0.254;0.278
585;1;0.36700;0.339;0.299;0.229;0.247;0.222;0.259;0.284
590;1;0.39000;0.341;0.285;0.214;0.232;0.221;0.27;0.295
595;1;0.40900;0.341;0.272;0.198;0.22;0.22;0.284;0.316
600;1;0.42400;0.342;0.264;0.185;0.21;0.22;0.302;0.348
605;1;0.43500;0.342;0.257;0.175;0.2;0.22;0.324;0.384
610;1;0.44200;0.342;0.252;0.169;0.194;0.22;0.344;0.434
615;1;0.44800;0.341;0.247;0.164;0.189;0.22;0.362;0.482
620;1;0.45000;0.341;0.241;0.16;0.185;0.223;0.377;0.528
625;1;0.45100;0.339;0.235;0.156;0.183;0.227;0.389;0.568
630;1;0.45100;0.339;0.229;0.154;0.18;0.233;0.4;0.604
635;1;0.45100;0.338;0.224;0.152;0.177;0.239;0.41;0.629
640;1;0.45100;0.338;0.22;0.151;0.176;0.244;0.42;0.648
645;1;0.45100;0.337;0.217;0.149;0.175;0.251;0.429;0.663
650;1;0.45000;0.336;0.216;0.148;0.175;0.258;0.438;0.676
655;1;0.45000;0.335;0.216;0.148;0.175;0.263;0.445;0.685
660;1;0.45100;0.334;0.219;0.148;0.175;0.268;0.452;0.693
665;1;0.45100;0.332;0.224;0.149;0.177;0.273;0.457;0.7
670;1;0.45300;0.332;0.23;0.151;0.18;0.278;0.462;0.705
675;1;0.45400;0.331;0.238;0.154;0.183;0.281;0.466;0.709
680;1;0.45500;0.331;0.251;0.158;0.186;0.283;0.468;0.712
685;1;0.45700;0.33;0.269;0.162;0.189;0.286;0.47;0.715
690;1;0.45800;0.329;0.288;0.165;0.192;0.291;0.473;0.717
695;1;0.46000;0.328;0.312;0.168;0.195;0.296;0.477;0.719
700;1;0.46200;0.328;0.34;0.17;0.199;0.302;0.483;0.721
705;1;0.46300;0.327;0.366;0.171;0.2;0.313;0.489;0.72
710;1;0.46400;0.326;0.39;0.17;0.199;0.325;0.496;0.719
715;1;0.46500;0.325;0.412;0.168;0.198;0.338;0.503;0.722
720;1;0.46600;0.324;0.431;0.166;0.196;0.351;0.511;0.725
725;1;0.46600;0.324;0.447;0.164;0.195;0.364;0.518;0.727
730;1;0.46600;0.324;0.46;0.164;0.195;0.376;0.525;0.729
735;1;0.46600;0.323;0.472;0.165;0.196;0.389;0.532;0.73
740;1;0.46700;0.322;0.481;0.168;0.197;0.401;0.539;0.73
745;1;0.46700;0.321;0.488;0.172;0.2;0.413;0.546;0.73
750;1;0.46700;0.32;0.493;0.177;0.203;0.425;0.553;0.73
755;1;0.46700;0.318;0.497;0.181;0.205;0.436;0.559;0.73
760;1;0.46700;0.316;0.5;0.185;0.208;0.447;0.565;0.73
765;1;0.46700;0.315;0.502;0.189;0.212;0.458;0.57;0.73
770;1;0.46700;0.315;0.505;0.192;0.215;0.469;0.575;0.73
775;1;0.46700;0.314;0.51;0.194;0.217;0.477;0.578;0.73
780;1;0.46700;0.314;0.516;0.197;0.219;0.485;0.581;0.73
785;1;0.46700;0.313;0.52;0.2;0.222;0.493;0.583;0.73
790;1;0.46700;0.313;0.524;0.204;0.226;0.5;0.585;0.731
795;1;0.46600;0.312;0.527;0.21;0.231;0.506;0.587;0.731
800;1;0.46600;0.312;0.531;0.218;0.237;0.512;0.588;0.731
805;1;0.46600;0.311;0.535;0.225;0.243;0.517;0.589;0.731
810;1;0.46600;0.311;0.539;0.233;0.249;0.521;0.59;0.731
815;1;0.46600;0.311;0.544;0.243;0.257;0.525;0.59;0.731
820;1;0.46500;0.311;0.548;0.254;0.265;0.529;0.59;0.731
825;1;0.46400;0.311;0.552;0.264;0.273;0.532;0.591;0.731
830;1;0.46400;0.31;0.555;0.274;0.28;0.535;0.592;0.731
